speech,emotion
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_back_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_bar_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_base_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_bath_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_bean_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_beg_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_bite_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_boat_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_bone_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_book_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_bought_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_burn_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_cab_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_calm_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_came_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_cause_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_chain_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_chair_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_chalk_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_chat_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_check_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_cheek_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_chief_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_choice_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_cool_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_dab_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_date_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_dead_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_death_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_deep_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_dime_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_dip_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_ditch_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_dodge_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_dog_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_doll_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_door_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_fail_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_fall_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_far_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_fat_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_fit_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_five_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_food_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_gap_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_gas_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_gaze_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_germ_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_get_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_gin_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_goal_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_good_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_goose_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_gun_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_half_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_hall_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_hash_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_hate_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_have_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_haze_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_hire_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_hit_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_hole_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_home_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_hurl_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_hush_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_jail_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_jar_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_join_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_judge_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_jug_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_juice_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_keen_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_keep_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_keg_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_kick_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_kill_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_king_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_kite_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_knock_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_late_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_laud_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_lean_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_learn_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_lease_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_lid_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_life_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_limb_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_live_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_loaf_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_long_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_lore_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_lose_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_lot_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_love_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_luck_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_make_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_match_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_merge_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_mess_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_met_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_mill_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_mob_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_mode_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_mood_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_moon_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_mop_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_mouse_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_nag_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_name_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_near_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_neat_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_nice_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_note_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_numb_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_pad_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_page_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_pain_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_pass_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_pearl_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_peg_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_perch_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_phone_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_pick_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_pike_angry.wav,angry
d:/GR1_github/audio_emotion_regconize/dataTrain/OAF_angry/OAF_pole_angry.wav,angry
